,ID,dd_sentiment_np,ndtv_sentiment_np,tn_sentiment_np
246,260,"{'Mantri Rashtriya Bal': 0.42698125, 'children': 0.887569, 'total': 0.0, 'special achievements': 0.7927255, 'names': 0.0, 'talented children': 0.887569, 'awards': 0.930981, 'applications': 0.0, 'awardees': 0.784578, 'Bal Shakti Puraskar': 0.42698125, 'individuals': 0.0, 'award winners': 0.9290725, 'inspirational stories': 0.676616, 'categories': 0.392289, 'Child Development': 0.887569}","{'children': 0.663703, 'Baal Shakti Puruskar': 0.0, 'total': -0.402928, 'great opportunity': 0.999994, 'award': 0.19902200000000003, 'applications': -0.402928, 'awardees': 0.0, 'Welfare Awards category': 0.19902200000000003, 'Twitter': -0.715425, 'individuals': 0.0, 'Rashtriya Bal Puraskar': 0.19782466666666668, 'light moments': 0.992293}","{'CBI chief': 0.25446620000000003, 'officials': 0.360049, 'relevant experience': 0.0, 'Alok Verma': 0.65755, 'career details': -0.1221785, 'Photo Credit': 0.720098, 'Lok Sabha Mallikarjun': 0.5008945, 'decision': 0.0, 'eligible officers': 0.04804550000000002, 'Kalyan Marg': 0.55111, 'new CBI Director': 0.11010875000000003, 'Lok Sabha': 0.5008945, 'names': -0.624007, 'Lok Kalyan Marg': 0.5008945, 'panel members': 0.0, 'media': -0.624007, 'officers': 0.04804550000000002, 'necessary details': -0.1221785, 'PTI': -0.055337499999999984}"
247,261,"{'phases': 0.17451424999999998, 'retirements': -0.555145, 'Railways': 0.6058410000000001, 'phase': 0.17451424999999998, 'lakh': 0.721177, 'vacancies': 0.0, 'fresh recruitment': 0.03572799999999998}","{'total net vacancies': 0.32698357142857143, 'news agency IANS': 0.17905400000000002, 'Piyush Goyal': -0.247688, 'vacancies': 0.22309366666666666, 'news agency': 0.17905400000000002, 'posts': -0.23217600000000002, 'IANS': 0.950323, 'Railways': 0.3251135, 'vacant posts': -0.23217600000000002, 'Lakh vacancies': 0.19122314285714287, 'Union Railways': 0.3251135, 'current vacancies': 0.22309366666666666, 'additional vacancy': 0.22309366666666666, 'phase': -0.3018923333333334, 'phases': -0.3018923333333334, 'Constitutional Amendment': -0.395761, 'statement': -0.699047, 'Ministry': 0.739335, 'Railway Employees': 0.3672354545454546, 'recruitment': 0.07359183333333331, 'processes': 0.0, 'fresh recruitment': 0.07359183333333331, 'Railway Police': 0.3251135, 'RRB Group': 0.0, 'recruitment agencies': 0.19883914285714285, 'railway employees': 0.3672354545454546, 'employees': 0.5795926666666666, 'cycle': -0.395761, 'Indian Railways': 0.2955577272727273, 'OBC': -0.395761, 'minimum eligibility criteria': 0.0, 'Industrial Training Institutes': 0.0}","{'state government': -0.350969125, 'debt': -0.674815, 'farm loan waiver': -0.6416013333333334, 'waiver': -0.5132043333333334, 'farmers': -0.7851686666666665, 'IANS': 0.0, 'farming community': 0.0, 'Congress election manifesto': 0.08287966666666667, 'government': -0.49409650000000005, 'BJP': 0.0, 'farm loan': -0.728513857142857, 'government officials': -0.49409650000000005, 'loans': -0.728513857142857, 'loan': -0.728513857142857, 'farm loan waivers': -0.6416013333333334, 'state': -0.308508, 'Forms': -0.572482, 'State Assembly elections': -0.25709, 'Nipana Baijnath': -0.8456876666666666, 'beneficiaries': -0.6296253333333334, 'Congress': 0.0994556, 'Chief Minister Kamal': 0.497278, 'complete waiver': -0.5132043333333334, 'Rs': -0.8534805, 'list': -0.667107, 'incident': -0.931124, 'Agar Malwa': -0.8812454999999999}"
248,262,{},"{'Maharashtra Anti-Terror Squad': -0.9844696666666666, 'terror': -0.9921856666666665, 'ATS Maharashtra ATS': -0.84783475, 'person': 0.0, 'investigators': -0.472006, 'suspects': -0.990308, 'Damadi Mahal': -0.53131, 'terror group': -0.9921856666666665, 'ATS sleuths': -0.7612241999999999, 'India': -0.780748, 'names': 0.0, 'teenager': -0.990308, 'criminal conspiracy': 0.0, 'ISIS': -0.8945933333333334, 'Mumbra': -0.990308, 'relevant information': 0.0, 'ISIS terror group': -0.9328792, 'men': 0.0, 'attack': -0.780748, 'alleged ISIS links': -0.9328792, 'Twitter': -0.902877, 'Tuesday Explosives': -0.990308, 'sleeper cells': -0.995941, 'ATS': -0.7612241999999999, 'Abu Zaid': -0.347809, 'Maharashtra ATS': -0.84783475, 'ISIS module': -0.8945933333333334, 'Abu': -0.347809, 'Maharashtra Anti Terror': -0.986633375}","{'Islamic State': -0.99844, 'ATS Maharashtra ATS': -0.3851104, 'Rashid Malbari': -0.99844, 'Anti-Terrorism Squad': -0.49922, 'suspects': 0.0, 'organisation Ummat-E-Muhammadiya': -0.99844, 'Republic': -0.680464, 'raids': 0.0, 'English Entertainment': -0.682421, 'poison': -0.927112, 'student': 0.0, 'touch': -0.965241, 'Maharashtra': -0.3851104, 'state': -0.99844, 'mass killings': -0.9627760000000001, 'various places': 0.0, 'Indian Penal Code': -0.953997, 'Maharashtra Anti-Terrorism': -0.3851104, 'engineers': 0.0, 'Times Network': -0.6809354999999999, 'Leading Broadcasting Network': -0.6809354999999999, 'Maharashtra ATS': -0.3851104, 'people': -0.870783, 'attacks': -0.680464, 'mass killing': -0.9627760000000001}"
249,263,"{'Eastern Uttar Pradesh': 0.0, 'KC Venugopal': 0.0, 'Bharatiya Janata Party': -0.850205, 'BJP spokesperson Sambit': -0.83877}","{'charge': -0.325777, 'sister': 0.0, 'dynamic leader': 0.371972, 'Jyotiraditya Scindia': 0.67091, 'Jyotiraditya': 0.67091, 'live updates': -0.325777, 'statement': -0.325777}","{'Rae Bareilly': -0.299887, 'vice president Prashant': 0.48060175, 'short span': -0.437269, 'Kishore': -0.11675449999999998, 'Vice President': 0.5248634999999999, 'area': -0.299887, 'Eastern': -0.3764995, 'exact role': 0.51949, 'India': 0.0, 'Kishor': 0.4417135, 'Indian politics': 0.34990899999999997, 'Times Network': -0.2509996666666667, 'Prashant Kishore': 0.1624795, 'Leading Broadcasting Network': 0.0, 'people': 0.51949, 'BJP': 0.0, 'English Entertainment': 0.0, 'decision': -0.392794}"
250,264,"{'various reform measures': 0.0, 'participants': 0.0, 'women empowerment': 0.0, 'Uttar Pradesh': -0.52266, 'contribution': 0.0, 'Prayagraj': 0.0, 'spiritual capital': 0.0, 'PBD Convention': 0.0, 'Varanasi': 0.0, 'cultural diversity': 0.0, 'President Ram Nath': -0.26133, 'government': 0.0, 'glory': 0.0, 'Convention': 0.0, 'valedictory session': 0.0, 'Delhi': -0.52266, 'Republic Day Parade': -0.52266}","{'participants': 0.0, 'Modi': 0.99758, 'Kumbh mela': 0.0, 'new India': 0.0, 'Republic Day parade': 0.0}","{'seer': 0.981287, 'world': 0.912714, 'Prime': 0.7136865, 'Varanasi': 0.964939, 'South Africa': 0.922914, 'India': 0.307638, 'tributes': 0.981287, 'summit': 0.999882, 'lakh crores': 0.0, 'Times Network': 0.0, 'Swami': 0.981287, 'Leading Broadcasting Network': 0.0, 'National Democratic Alliance': 0.4970655, 'passport procurement facilities': 0.809569, 'country': 0.981287, 'International Solar Alliance': 0.4970655}"
251,265,"{'foundation stone': 0.88372, 'Roti': 0.0, 'strong link': 0.958184, 'freedom struggle': 0.8290526666666667, 'Netaji': 0.7488715, 'secret messages': 0.0, 'art lovers': 0.11636399999999998, 'Red Fort Complex': -0.286255, 'Gurudev Tagore': 0.7583725, 'brave freedom fighters': 0.8290526666666667, 'British troops': 0.6177634999999999, 'art': 0.11636399999999998, 'tribute': 0.73097, 'British Empire': 0.6177634999999999, 'prolific writer': 0.958184, 'Prime Minister': 0.6336280000000001, 'prominent place': 0.0, 'finest aspects': 0.943762, 'works': 0.679517}","{'bravery': 0.0, 'wooden chair': 0.0, 'speech': 0.0, 'medals': 0.0, 'different artefacts': 0.0, 'sword': 0.0}","{'newspaper clippings': 0.921556, 'Red Fort compound': 0.18058999999999997, 'idea': 0.0, 'Amritsar': 0.0, 'Netaji': 0.332436, 'Punjab': 0.0, 'India': -0.734108, 'wooden chair': 0.0, 'actor Abhishek Bachchan': 0.487458, 'replica': 0.0, 'English Entertainment': -0.832088, 'artworks': 0.999395, 'war': -0.636128, 'Sarojini Naidu': 0.0, 'sword': 0.0, 'various artefacts': 0.0, 'experience': 0.0, 'Prime Minister Narendra': 0.9594320000000001, 'Visitors': 0.0, 'Subhas': 0.332436, 'PM': 0.142714, 'Leading Broadcasting Network': -0.832088, 'birth anniversary': 0.997308, 'enthralling experience': 0.0}"
252,266,"{'valour': 0.0, 'historical narrative': 0.0, 'Drishyakala-Museum': 0.987502, 'wooden chair': 0.0, 'sacrifices': 0.0, 'INA': 0.0, 'Foundation stone': 0.993788, 'Independence': 0.3291673333333333, 'occasion': 0.923004}","{'stalwart': 0.821087, 'Red Fort complex': 0.8848635, 'Netaji Subhas': 0.579723, 'British Empire': 0.0, 'World War': 0.2572526666666667, 'independence': 0.385879, 'India': 0.771758, 'freedom fighter': 0.4989845, 'poem': 0.0, 'Actor Abhishek Bachchan': 0.4586955, 'movement': 0.0, 'historical narrative': 0.0, 'golf cart': 0.978541, 'Raja Ravi Varma': 0.0, 'sacrifices': 0.0, 'replica': 0.0, 'Sarojini Naidu': 0.0, 'valour': 0.0}","{'newspaper clippings': 0.921556, 'Red Fort compound': 0.18058999999999997, 'idea': 0.0, 'Amritsar': 0.0, 'Netaji': 0.332436, 'Punjab': 0.0, 'India': -0.734108, 'wooden chair': 0.0, 'actor Abhishek Bachchan': 0.487458, 'replica': 0.0, 'English Entertainment': -0.832088, 'artworks': 0.999395, 'Sarojini Naidu': 0.0, 'war': -0.636128, 'experience': 0.0, 'Visitors': 0.0, 'Subhas': 0.332436, 'PM': 0.142714, 'Leading Broadcasting Network': -0.832088, 'birth anniversary': 0.997308, 'enthralling experience': 0.0}"
253,267,"{'public meeting': -0.918748, 'political killing': -0.84273, 'hindrances': -0.922618, 'TMC govt': -0.922618}","{'ethos': -0.754304, 'West Bengal': -0.801324, 'citizenship': -0.573644, 'Minister Narendra Modi': 0.733957, 'Bengali refugees': -0.573644, 'Twitter': -0.715425, 'India': -0.754304, 'Shah': -0.8584160000000001, 'Bharatiya Janata Party': -0.7591089999999999, 'purpose': 0.733957, 'Brigade Parade Grounds': 0.733957, 'Mr Shah': -0.8584160000000001, 'speeches': -0.8532605999999999, 'TMC spokesperson Derek': -0.30809000000000003, 'opposition parties': -0.7591089999999999}","{'major issue': 0.0, 'Rajya Sabha': -0.8984489999999999, 'stage': -0.830219, 'West Bengal': -0.917771, 'Mamata': -0.7624175, 'prime ministerial candidate': -0.873848, 'refugees': -0.919598, 'work': -0.933536, 'permission': -0.852012, 'country': -0.597293, 'Citizenship': -0.344287, 'opposition parties': -0.82414, 'rally': -0.917771, 'grand alliance': -0.597293, 'Bengal': -0.917771, 'citizenship': -0.344287, 'Banerjee': -0.670075, 'Kolkata': -0.637733, 'infiltrators': -0.933536, 'leaders': -0.757512, 'PM': -0.610649, 'crore Indians': -0.877869, 'Bharatiya Janata Party': -0.82414, 'ministerial candidates': -0.873848, 'Narendra Modi': -0.6003545}"
254,268,"{'stretches': 0.0, 'national capital': -0.233281, 'trains': 0.0, 'thunder showers': 0.0, 'areas': 0.0, 'best air quality': -0.3617173333333333, 'commuters': 0.0, 'pollution level': -0.542576, 'category': 0.0, 'Ashram Chowk': 0.0, 'overall air quality': -0.3617173333333333, 'air quality index': -0.3617173333333333, 'visibility': -0.753373, 'weather': 0.0, 'Bihari Colony': 0.0, 'Central Pollution Control': -0.542576, 'advisories': 0.0}","{'showers': -0.5174585, 'bouts': 0.741918, 'maximum temperature': 0.0, 'gusty winds': -0.22106533333333334, 'cloudy conditions': 0.0, 'time': -0.678673, 'sharp dip': -0.793232, 'Northwest India': 0.0, 'road': -0.688532, 'India': 0.0, 'moderate showers': -0.3449723333333334, 'airport': -0.688532, 'INA market': 0.0, 'Defence Colony Flyover': 0.0, 'Customers': -0.344266, 'Lala Lajpat Rai': 0.0, 'rainfall': 0.0, 'Commuters': 0.0, 'IMD': 0.0, 'Western Disturbance': 0.0}","{'trains': -0.859356, 'Aya Nagar observatory': -0.31588333333333335, 'Jawahar tunnel': 0.0, 'Snow avalanche': -0.3450065, 'Jammu': -0.905815, 'cent': 0.0, 'snowfall': -0.94765, 'minimum temperature': 0.0, 'National Capital Region': -0.94765, 'Srinagar': -0.912721, 'Lodhi road observatory': -0.31588333333333335, 'rainfall': 0.0, 'English Entertainment': 0.0, 'Kashmir': -0.4529075, 'Delhi-bound trains': -0.859356, 'maximum temperature': 0.0, 'Jawahar Tunnel': 0.0, 'India Meteorological Department': 0.0, 'western Uttar Pradesh': -0.5473979999999999, 'Northern Railways': -0.859356, 'western disturbance': -0.3681895, 'Tuesday evening': 0.0, 'Temperature': 0.0, 'mm rainfall': 0.0, 'fresh snow': -0.6665905, 'Times Network': 0.0, 'Leading Broadcasting Network': 0.0, 'Himachal Pradesh': -0.821097}"
255,269,"{'Karnataka': 0.0, 'wreath': 0.0, 'seer': -0.3677055, 'DV Sadananda Gowda': 0.0, 'Union Ministers Nirmala': 0.0, 'Minister Narendra Modi': 0.0, 'Centre': 0.0}","{'social reformer par': -0.07888400000000001, 'Sree Siddaganga Mutt': -0.069165, 'grief': 0.0, 'Twitter': -0.715425, 'Sri Siddaganga Mutt': -0.069165, 'Sarasanghchalak Parampujya Guruji': -0.777378, 'homage': 0.894398, 'RSS': 0.11118999999999998, 'chief Mohan Bhagwat': -0.162003, 'God': -0.6322055, 'great spiritual leader': 0.7272810000000001, 'Mutt': -0.069165, 'Mr Bhagwat': 0.1159615, 'earth': -0.836824, 'Rashtriya Swayamsevak Sangh': -0.717932, 'nation': -0.07888400000000001, 'Siddaganga Mutt': -0.069165, 'Hindu Society': -0.07888400000000001}","{'Dr Parameshwar': 0.0, 'ardent practitioner': 0.332835, 'BJP leader BS': 0.332835, 'doctor': -0.2779793333333333, 'health parameters': 0.1664175, 'life': -0.935246, 'Security': -0.935246, 'critical condition': -0.935246, 'English Entertainment': 0.0, 'treatment': 0.310704, 'ANI': -0.50625, 'Sree Siddaganga Mutt': -0.28424575, 'seer': -0.22753466666666666, 'Devotees': 0.1442865, 'doctors': -0.2779793333333333, 'Minister': 0.332835, 'Times Network': 0.332835, '111-year-old seer': -0.22753466666666666, '111-year-old seer liver': -0.22753466666666666, 'Leading Broadcasting Network': 0.332835, 'Siddaganga Mutt': -0.28424575, 'Parameshwar': 0.0, 'infection': -0.610071}"
256,270,"{'steps': 0.369294, 'massive participation': 0.0, 'Juganauth': 0.0, 'concept': 0.0, 'Hindi': 0.0, 'MEA': 0.91159, 'Embassies': 0.741579, 'bit': 0.994119, 'Chief Guest': 0.3111063333333333, 'Kumbh': 0.870239, 'rampant corruption': -0.368383, 'government': 0.8603445000000001, 'prizes': 0.0, 'Procedures': 0.0, 'engagement': 0.738588, 'Kashi': 0.0, 'Mauritius Pravind Jugnauth': 0.0, 'event': 0.688416, 'Varanasi': 0.9619305, 'hands': 0.949434, '15th PBD': 0.48190924999999996, 'UNESCO': 0.996406, 'love': 0.998892}","{'participants': 0.0, 'Indian diaspora': 0.0, 'Kumbh mela': 0.0, 'Republic Day parade': 0.0}","{'seer': 0.981287, 'world': 0.912714, 'Varanasi': 0.964939, 'South Africa': 0.922914, 'tributes': 0.981287, 'summit': 0.999882, 'lakh crores': 0.0, 'Times Network': 0.0, 'Swami': 0.981287, 'Leading Broadcasting Network': 0.0, 'National Democratic Alliance': 0.4970655, 'passport procurement facilities': 0.809569, 'country': 0.981287, 'International Solar Alliance': 0.4970655}"
257,271,"{'cordon': 0.0, 'area': -0.867039, 'Rashtriya Rifles': -0.90351, 'team': -0.90351}","{'gunbattle': 0.0, 'team': 0.0, 'cordon': -0.891789, 'Twitter': 0.0, 'Rashtriya Rifles': 0.0, 'area': -0.297263, 'place': 0.0, 'police': -0.6085956666666666}","{'fierce gunfight': -0.971845, 'ceasefire': -0.908727, 'Jammu': -0.91958, 'stone': 0.0, 'place': 0.0, 'India': -0.4859225, 'loss': 0.0, 'injuries': 0.0, 'Visuals': -0.908727, 'preliminary inputs': 0.0, 'Times Network': -0.22718175, 'Leading Broadcasting Network': 0.0, 'locals': 0.0, 'English Entertainment': 0.0, 'Rajouri districts': -0.8536793333333333, 'Kashmir': -0.6268573333333333, 'grenade attacks': 0.632698}"
258,272,"{'Ranjan Gogoi': 0.0, 'NGO Common Cause': 0.0, 'bench': 0.0, 'selection committee meeting': 0.0, 'largest opposition party': 0.0, 'Justice Sanjiv Khanna': 0.0, 'Chief Justice': 0.0, 'PIL': 0.0, 'CJI': 0.0, 'Prime minister': 0.0, 'plea': 0.0}","{'Prem Gautam': -0.382435, 'vigilance measure': -0.76487, 'officers': -0.382435, 'case': -0.27946675, 'anti-corruption branch': -0.3085285, 'additional charge': -0.76487, 'special crime branch': -0.15426425, 'position': 0.0, 'Supreme Court': -0.4799375, 'Tamil Nadu': -0.619344, 'transfer order': -0.618462, 'Saravanan': -0.354363, 'Mr Gautam': -0.1912175, 'Mumbai': -0.619344, 'Twitter': -0.715425, 'Mr Priyadarshi': -0.1912175, 'anti-Sterlite protests': -0.309672, 'matter': -0.481018, 'activist-lawyer Prashant Bhushan': -0.605512, 'Chandigarh': -0.617057, 'people': -0.619344, '2G scam case': -0.27946675, 'Ram Gopal': -0.76487, 'traders Nirav Modi': -0.619344}","{'post': 0.0, 'India Ranjan Gogoi': -0.4606396666666666, 'selection committee': -0.027861499999999984, 'high-profile selection committee': -0.027861499999999984, 'India': -0.2886225, 'government': 0.0, 'CJI Ranjan Gogoi': -0.6909595, 'PM Narendra Modi': 0.684373, 'English Entertainment': 0.0, 'Supreme Court': 0.0, 'Services': 0.0, 'rules': 0.0, 'charge': 0.0, 'Alok Verma': -0.26822466666666667, 'successor': 0.0, 'Chief Justice': -0.577245, 'Delhi Police Special': -0.370048, 'Prime Minister': 0.684373, 'NGO Common Cause': -0.370048, 'NGO': -0.370048, 'Times Network': 0.0, 'Leading Broadcasting Network': 0.0, 'Verma': -0.26822466666666667, 'Narendra Modi': 0.684373, 'Opposition Mallikarjun Kharge': 0.684373, 'CJI': -0.804674, 'plea': -0.804674}"
259,273,"{'Indians': 0.335994, 'dais': 0.0, 'success': 0.659866, 'external affairs': 0.17763833333333334, 'roots': 0.301374, 'Minister Narendra Modi': 0.6685628, 'Centre': 0.778159, 'youth': 0.10045799999999999, 'hearts': -0.341579, 'India': 0.5916549999999999, 'laurels': 0.659866, 'valedictory address': 0.977055, 'lawmakers': 0.335994, 'NRIs': 0.0, 'land': 0.611393, 'General VK Singh': 0.178757, 'different identity': 0.34738800000000003, 'Rajyawardhan Singh Rathore': 0.178757, 'world': 0.649826, 'Minister Sushma Swaraj': 0.6685628, 'higher education': 0.860291, 'common identity': 0.46318400000000004, 'strength': 0.611393, 'event': 0.977055, 'Minister': 0.6685628, 'research': 0.860291, 'Uttar': 0.972553, 'people': 0.778159, 'different parts': 0.5059706666666667}","{'private planes': 0.0, 'Limited infrastructure': 0.0, 'incoming flights': 0.31515433333333337, 'Varanasi Airport': 0.948815, 'flowers': 0.0, 'flights': 0.31515433333333337, 'Varanasi airport': 0.948815, 'international flights': 0.31515433333333337, 'countries': 0.608194, 'additional aircraft': -0.2028616666666667, 'Twitter': -0.715425, 'VVIP movement': 0.6336363333333334, 'challenge': 0.955446, 'President': 0.955446, 'Anil Kumar Roy': 0.945463, 'aircraft': -0.2028616666666667, 'official': -0.777024, 'aircrafts': -0.2028616666666667, 'traffic movement': 0.3801818}","{'Indians': 0.3286405, 'three-day-long convention': 0.0, 'NRI delegates': 0.644248, 'bilateral cooperation': 0.0, 'Uttar Pradesh': 0.0, 'counterpart Pravind Jugnauth': 0.7088749999999999, 'theme': 0.0, 'platform': 0.0, 'Minister Sushma Swaraj': 0.5126693333333333, 'Parliament': 0.629395, 'event': 0.0, 'Kumbh Mela': 0.644248, 'Indian diaspora': 0.3286405, 'novel feature': 0.0, 'convention': 0.0, 'Youth Affairs': 0.5126693333333333, 'Minister': 0.5126693333333333, 'President Ram Nath': 0.0, 'cultural village': 0.58101, 'Pravind Jugnauth': 0.7088749999999999, 'Republic Day Parade': 0.0, 'Narendra Modi': 0.760469, 'partner state': 0.3859115}"
260,274,"{'Minister Narendra Modi': 0.16729, 'Secretary Ram Madhav': 0.811324, 'people': 0.996579}","{'power': -0.602247, 'Minister Narendra Modi': 0.5945637500000001, 'Kendriya Vidyalaya': 0.961134, 'Modi': 0.541426, 'Mehul Choksi': 0.20048599999999997, 'Minister Rajnath Singh': 0.65449975, 'government': 0.05577899999999997, 'People': 0.897952, 'BJP': -0.371162, 'Lok Sabha election': -0.4733053333333333, 'grand alliance': -0.602247, 'Barbuda Isles': 0.896353, 'Union Home Minister': 0.8726663333333334, 'Punjab National Bank': -0.670738, 'Choksi nephew Nirav': 0.20048599999999997, 'Twitter': -0.715425, 'Kolkata': 0.893491, 'bank officials': -0.670738, 'Rajnath Singh': 0.3769885, 'Minister': 0.8726663333333334, 'favour': 0.896353}","{'power': -0.50275, 'politicians': -0.50275, 'order': -0.3526445, 'Republic Day functions': -0.960414, 'Kashmir Governor': -0.6111858333333333, 'nationalism': -0.7793765, 'dereliction': -0.960414, 'Patriotism': -0.705289, 'Ram Madhav': -0.784697, 'Independent legislator': -0.684447, 'country': -0.705289, 'English Entertainment': 0.0, 'separatists': -0.6062045, 'Satya Pal Malik': -0.960414, 'Kashmir administration': -0.6111858333333333, 'elections': 0.0, 'Governor': -0.43657175000000004, 'Engineer Rashid': 0.0, 'disobedience': -0.960414, 'democracy Kashmir': -0.6111858333333333, 'government employees': -0.960414, 'leaders': -0.3422235, 'dictatorship': 0.0, 'Times Network': 0.0, 'PDP': -0.853464, 'Leading Broadcasting Network': 0.0, 'failure': -0.960414, 'officers': 0.0}"
261,275,{},"{'bickering opposition parties': -0.6649778571428572, 'leader Akhilesh Yadav': -0.615072, 'Nitin Gadkari': -0.8243900000000001, 'Socio-economic equality': 0.0, 'justice': 0.988878, 'India': 0.988878, 'bad performance': 0.0, 'Samajwadi Party': -0.5350010000000001, 'eye': -0.731986, 'mother': -0.866669, 'Narendra': 0.350969, 'BJP': -0.48690825000000004, 'BJP leadership': -0.2564714, 'grand alliance': -0.312055, 'opposition': -0.9662066666666668, 'Union Transport Minister': 0.43026825, 'upper castes': -0.787288, 'Prime': -0.006976000000000038, 'Twitter': -0.871389, 'prime minister': 0.43026825, 'good work': -0.731986, 'Congress': -0.55444, 'father': -0.422308, 'dust': -0.866669, 'BJP BJP': -0.48690825000000004, 'Bharatiya Janata Party': -0.5350010000000001, 'people': -0.692083, 'Narendra Modi': 0.350969, 'Nitin Gadkari Nitin': -0.8243900000000001, 'BJP workers': -0.48690825000000004}","{'power': 0.834073, 'extremist groups': -0.3667505, 'foundation stone': 0.970781, 'Central Reserve Police': 0.0, 'menace': 0.0, 'Kendriya Vidyalaya': 0.970781, 'Indian citizenship': 0.996259, 'information technocrats': 0.0, 'Mehul Choksi': 0.996259, 'moral education': 0.0, 'Minister Rajnath Singh': 0.8996246666666666, 'government': 0.059919, 'People': 0.936076, 'nephew Nirav Modi': 0.4042323333333333, 'grand alliance': 0.834073, 'Home Minister Rajnath': 0.8996246666666666, 'opposition': 0.32633833333333334, 'Punjab National Bank': -0.733501, 'Singh': 0.852218, 'bank officials': -0.733501, 'Choksi': 0.996259, 'Bharatiya Janata Party': 0.14697624999999997, 'crore': -0.705097}"
262,276,"{'participants': 0.0, 'Youth PBD': 0.827273, 'Pravasi Bharatiya Divas': 0.657552, 'Uttar Pradesh': 0.359009, 'Minister Narendra Modi': 0.4780475, 'world leaders': 0.0, 'Pravasi Bharatiya Samman': 0.657552, 'Indian origin': 0.23281700000000002, 'Kumbh Mela': 0.717868, 'event': 0.359009, 'Indian diaspora': 0.23281700000000002, 'President Ram Nath': 0.0, 'valedictory address': 0.956095, 'preparations': 0.359009}","{'guests': 0.0, 'Varanasi airport': 0.948815, 'Bharatiya Divas celebrations': 0.4054626666666667, 'countries': 0.608194, 'Divas': 0.4054626666666667, 'challenge': 0.955446, 'official': -0.777024, 'aircrafts': -0.2028616666666667, 'traffic movement': 0.3801818, 'private planes': 0.0, 'Limited infrastructure': 0.0, 'incoming flights': 0.31515433333333337, 'Varanasi Airport': 0.948815, 'flowers': 0.0, 'Pravasi Bharatiya Divas': 0.4054626666666667, 'flights': 0.31515433333333337, 'international flights': 0.31515433333333337, 'additional aircraft': -0.2028616666666667, 'Twitter': -0.715425, 'VVIP movement': 0.6336363333333334, 'Guests': 0.0, 'President': 0.955446, 'Anil Kumar Roy': 0.945463, 'aircraft': -0.2028616666666667}","{'power': 0.984354, 'Minister Narendra Modi': -0.3307505, 'entire nation': 0.337365, 'Punjab': -0.7468717500000001, 'Lok Sabha elections': -0.11146433333333335, 'Chief Minister Captain': -0.3307505, 'English Entertainment': -0.662327, 'country': 0.363491, 'Captain Amarinder Singh': -0.7835575, 'Minister Arvind Kejriwal': -0.3307505, 'rally': 0.0, 'way': -0.931528, 'Punjab Chief Minister': -0.49882171428571426, 'Akali Dal': -0.931528, 'experience': 0.0, 'Congress': -0.5033653333333333, 'AAP leader Gopal': -0.05235150000000005, 'Congress arrogance': -0.5033653333333333, 'Times Network': -0.662327, 'TV': 0.0, 'Congress presence': -0.5033653333333333, 'Leading Broadcasting Network': -0.662327, 'Delhi': -0.6521626666666666, 'AAP': -0.05235150000000005, 'final decision': 0.0}"
263,277,"{'South Block': 0.0, 'function': 0.778999, 'defence purchases': 0.19474975, 'Defence Minister Nirmala': 0.19474975, 'defence minister Manohar': 0.19474975}","{'20-time Grand Slam': -0.2079805, 'tournament': 0.0, 'happiest man': -0.2079805, 'legend': 0.0, 'bit': 0.828932, 'Swiss master': -0.415961, 'phase': 0.828932, 'Roland Garros': 0.0, 'Federer': 0.29339966666666667, 'rue': 0.0, 'courtesy': 0.971377, 'clay season': 0.4152875, 'seed Roberto Bautista': 0.0, 'Roger Federer': 0.29339966666666667, 'energy': -0.415961, 'dream': 0.0, 'Stefanos Tsitsipas': -0.2079805, 'announcement': 0.0, 'fiery Greek Stefanos': -0.27730733333333335, 'big break': -0.484621}","{'Rafale issue': -0.3648096, 'fighter jet deal': 0.868529, 'clarification': 0.868529, 'Air': -0.019979999999999998, 'Rafale': -0.16979100000000003, 'comment': -0.504134, 'Sitharaman': 0.160074, 'Mallikarjun Kharge': -0.504134, 'VVIP chopper scam': -0.731983, 'great disservice': -0.504134, 'Modi': -0.019979999999999998, 'AgustaWestland middleman Christen': 0.06063099999999999, 'Manohar Parrikar': 0.972337, 'Defence Minister Nirmala': 0.764204, 'liar': 0.867839, 'nation': -0.504134, 'English Entertainment': -0.657831, 'Defence Minister': 0.764204, 'defence purchases': 0.8165129999999999, 'main issues': -0.5630053333333332, 'spokesperson Syed Shahnawaz': -0.573599, 'president Rahul Gandhi': 0.418716, 'good aircraft': 0.538356, 'Force Birender Singh': -0.019979999999999998, 'experience': 0.0, 'Congress': -0.29015500000000005, 'PM Modi job': -0.019979999999999998, 'Times Network': -0.657831, 'TV': 0.0, 'Finance Minister clarification': 0.71217075, 'Leading Broadcasting Network': -0.657831, 'Rahul Gandhi': 0.418716, 'Indian Air Force': -0.019979999999999998}"
