ID_1,ndtv_dd_wordnet
320,"{'manipur': ['manipur', 1.0], 'undertaking': ['undertaking', 1.0], 'inaugurate': ['inaugurate', 1.0], 'stadium': ['transportation_system', 0.2], 'water': ['water', 1.0], 'integrate': ['integrate', 1.0], 'foundation': ['foundation', 1.0], 'barrage': ['barrage', 1.0], 'tourist': ['combatant', 0.25], 'include': ['get_down', 0.33], 'election': ['work', 0.17], 'sport': ['sport', 1.0], 'autopsy': ['autopsy', 1.0], 'storage': ['storage', 1.0], 'premier': ['premier', 1.0], 'post': ['post', 1.0], 'zone': ['zone', 1.0], 'check': ['check', 1.0], 'university': ['government', 0.17], 'poll': ['vision', 0.1], 'state': ['state', 1.0], 'development': ['immigration', 0.14], 'curate': ['curate', 1.0], 'security': ['need', 0.25], 'new': ['new', 1.0], 'besides': ['besides', 1.0]}"
321,"{'protection': ['devising', 0.2], 'enjoy': ['premier', 0.33], 'black': ['farmer', 0.79], 'state': ['punjab', 0.17], 'government': ['government', 1.0], 'people': ['people', 1.0], 'cerium': ['name', 0.14], 'lodge': ['tag', 0.25], 'clap': ['center', 0.25], 'decision': ['decision', 1.0], 'issue': ['defense_mechanism', 0.2], 'percentage': ['politics', 0.12], 'justify': ['reaffirm', 0.25], 'one': ['crore', 0.2], 'trouble': ['weaken', 0.2], 'burning': ['development', 0.17], 'kind': ['right', 0.2], 'history': ['message', 0.17], 'year': ['year', 1.0], 'confront': ['perpetrate', 0.25], 'besides': ['besides', 1.0], 'curate': ['curate', 1.0], 'photograph': ['universe', 0.14]}"
322,"{'suspend': ['suspend', 1.0], 'lawgiver': ['leader', 0.5], 'break': ['discussion', 0.17], 'back-to-back': ['back-to-back', 1.0], 'house': ['house', 1.0], 'mononuclear_phagocyte_system': ['mononuclear_phagocyte_system', 1.0], 'speaker': ['speaker', 1.0], 'parade': ['rise', 0.2], 'commotion': ['havoc', 0.33], 'party': ['party', 1.0], 'issue': ['rule', 0.2], 'soon': ['announcement', 0.99], 'days': ['days', 1.0], 'proceeding': ['proceeding', 1.0], 'make': ['make', 1.0], 'hour': ['day', 0.33], 'status': ['difference', 0.2], 'transport': ['bring', 0.5], 'multiple_sclerosis': ['problem', 0.14], 'thursday': ['decade', 0.17], 'state': ['state', 1.0], 'agenda': ['policy', 0.25], 'get': ['resistance', 0.11]}"
323,"{'decision': ['accomplishment', 0.25], 'link': ['link', 1.0], 'make': ['necessitate', 0.33], 'congress': ['congress', 1.0], 'corridor': ['invention', 0.14], 'promise': ['event', 0.25], 'general': ['science', 0.8], 'rally': ['gathering', 0.5], 'involve': ['involve', 1.0], 'farmer': ['farmer', 1.0], 'state': ['propose', 0.33], 'family': ['state', 0.25], 'chirrup': ['convergence', 0.25], 'head': ['scientist', 0.25], 'government': ['congregation', 0.2], 'put': ['transport', 0.33], 'power': ['capacity', 0.2], 'curate': ['curate', 1.0], 'prime': ['hour', 0.17], 'agenda': ['mind', 0.17]}"
324,"{'deal': ['deal', 1.0], 'gun': ['bag', 0.14], 'probe': ['probe', 1.0], 'demand': ['demand', 1.0], 'people': ['entity', 0.25], 'reject': ['dismiss', 0.5], 'government': ['government', 1.0], 'committee': ['committee', 1.0], 'aircraft': ['aircraft', 1.0], 'state': ['state', 1.0], 'allegation': ['allegation', 1.0], 'exist': ['clean', 0.33], 'issue': ['issue', 1.0], 'mar': ['defile', 0.5], 'confusion': ['security', 0.17], 'resistance': ['resistance', 1.0], 'discussion': ['procedure', 0.2], 'host': ['combatant', 0.25], 'kind': ['aspect', 0.17], 'firm': ['manufacturer', 0.33], 'talk': ['ask', 0.33], 'corruptness': ['corruptness', 1.0], 'finance': ['finance', 1.0], 'defense_mechanism': ['defense_mechanism', 1.0], 'court': ['court', 1.0]}"
325,"{'lawgiver': ['person', 0.33], 'let': ['faithlessly', 0.33], 'frequently': ['discussion', 0.98], 'deal': ['deal', 1.0], 'issue': ['issue', 1.0], 'house': ['tape', 0.17], 'monetary_value': ['authenticity', 0.17], 'walk': ['come', 0.33], 'cause': ['originate', 0.33], 'parliament': ['congress', 0.33], 'defense_mechanism': ['fact', 0.2], 'emanation': ['case', 0.2], 'poster': ['answer', 0.17], 'gandhi': ['gandhi', 1.0], 'blessing': ['attempt', 0.2]}"
326,"{'standby': ['room', 0.17], 'dash': ['control', 0.2], 'feature': ['grid', 0.11], 'establish': ['kill', 0.25], 'registration': ['accomplishment', 0.2], 'time': ['success', 0.25], 'much': ['terrorist', 0.97], 'sale': ['operations', 0.2], 'percentage': ['highlight', 0.11], 'specification': ['answer', 0.25], 'recall': ['question', 0.25], 'design': ['attempt', 0.2], 'hours': ['year', 0.25], 'make': ['make', 1.0], 'come': ['travel', 0.5]}"
327,"{'woman': ['woman', 1.0], 'enter': ['enter', 1.0], 'stay': ['protection', 0.25], 'group': ['age', 0.2], 'beginning': ['sanctum', 0.14], 'week': ['morning', 0.33], 'priest': ['curate', 0.33], 'police': ['police', 1.0], 'travel_rapidly': ['travel', 0.5], 'flag': ['shrine', 0.11], 'reach': ['reach', 1.0], 'reopen': ['reopen', 1.0], 'desire': ['desire', 1.0], 'dawn': ['midnight', 0.33]}"
328,"{'search': ['search', 1.0], 'location': ['location', 1.0], 'faculty': ['evidence', 0.2], 'electric': ['suspect', 0.98], 'connection': ['connection', 1.0], 'personality': ['group', 0.25], 'agency': ['agency', 1.0], 'topographic_point': ['topographic_point', 1.0], 'member': ['politician', 0.17], 'conduct': ['conduct', 1.0], 'alarm': ['panic', 0.33], 'constitution': ['installation', 0.33], 'plan': ['plan', 1.0], 'trip': ['produce', 0.2], 'national': ['national', 1.0], 'fresh': ['fresh', 1.0]}"
329,"{'sheik': ['leader', 0.25], 'irani': ['irani', 1.0], 'union': ['union', 1.0], 'case': ['case', 1.0], 'fake': ['fabric', 0.14], 'support': ['spare', 0.33], 'political': ['political', 1.0], 'part': ['highlight', 0.33], 'state': ['state', 1.0], 'length': ['power', 0.17], 'use': ['misapply', 0.5], 'come': ['come', 1.0], 'curate': ['curate', 1.0], 'conspiracy': ['conspiracy', 1.0]}"
330,"{'temple': ['stairs', 0.12], 'election': ['action', 0.2], 'interview': ['interview', 1.0], 'resignation': ['resignation', 1.0], 'demonetization': ['release', 0.25], 'jolt': ['incident', 0.17], 'issue': ['issue', 1.0], 'surgical': ['surgical', 1.0], 'talk': ['talk', 1.0], 'strike': ['strike', 1.0], 'host': ['farmer', 0.2], 'state': ['state', 1.0], 'people': ['party', 0.2], 'desire': ['desire', 1.0], 'procedure': ['attempt', 0.33], 'clear': ['clear', 1.0], 'curate': ['curate', 1.0], 'alliance': ['safety', 0.17], 'calendar_month': ['politics', 0.12], 'decision': ['decision', 1.0], 'besides': ['besides', 1.0], 'take': ['make_bold', 0.33], 'make': ['make', 1.0], 'premier': ['premier', 1.0], 'delhi': ['polls', 0.1]}"
331,"{'search': ['search', 1.0], 'container': ['appliance', 0.25], 'faculty': ['faculty', 1.0], 'transport': ['herd', 0.33], 'connection': ['connection', 1.0], 'collar': ['collar', 1.0], 'location': ['location', 1.0], 'personality': ['personality', 1.0], 'mobile': ['mobile', 1.0], 'agency': ['agency', 1.0], 'topographic_point': ['topographic_point', 1.0], 'code': ['group', 0.2], 'redstem_storksbill': ['redstem_storksbill', 1.0], 'break': ['break', 1.0], 'member': ['leader', 0.2], 'electronic': ['electronic', 1.0], 'pistol': ['pistol', 1.0], 'constitution': ['constitution', 1.0], 'follow': ['round', 0.33], 'ammunition': ['ammunition', 1.0], 'telephone': ['telephone', 1.0], 'case': ['case', 1.0], 'card_game': ['card_game', 1.0], 'plan': ['plan', 1.0], 'national': ['national', 1.0], 'car': ['rocket', 0.17]}"
332,"{'counterpart': ['urge', 0.17], 'reaffirm': ['farcical', 0.25], 'autopsy': ['autopsy', 1.0], 'leadership': ['resistance', 0.2], 'party': ['party', 1.0], 'victory': ['victory', 1.0], 'house': ['sum', 0.17], 'close': ['vote', 0.97], 'precedence': ['nothingness', 0.14], 'leader': ['leader', 1.0], 'state': ['state', 1.0], 'statement': ['allegation', 0.2], 'premier': ['premier', 1.0], 'election': ['election', 1.0], 'win': ['win', 1.0], 'committedness': ['manner', 0.17], 'curate': ['curate', 1.0], 'seating': ['seating', 1.0], 'committee': ['committee', 1.0]}"
333,"{'district': ['district', 1.0], 'miner': ['miner', 1.0], 'diver': ['diver', 1.0], 'reach': ['nearby', 0.33], 'rescue': ['rescue', 1.0], 'operation': ['operation', 1.0], 'shaft': ['shaft', 1.0], 'pump': ['pump', 1.0], 'come': ['travel', 0.5], 'fire': ['fire', 1.0], 'search': ['aid', 0.33], 'site': ['site', 1.0], 'service': ['service', 1.0], 'work_force': ['team', 0.2], 'operations': ['cooperation', 0.25], 'highlight': ['resource', 0.14], 'indian': ['indian', 1.0]}"
334,"{'army': ['army', 1.0], 'intruder': ['intruder', 1.0], 'sector': ['sector', 1.0], 'line': ['line', 1.0], 'control': ['control', 1.0], 'pakistan': ['pakistan', 1.0], 'military_personnel': ['military_personnel', 1.0], 'uniform': ['dress', 0.25], 'try': ['try', 1.0], 'attempt': ['attempt', 1.0], 'foil': ['foil', 1.0], 'state': ['pakistani', 0.25], 'combat': ['combat', 1.0], 'strike': ['strike', 1.0], 'jungle': ['jungle', 1.0], 'marker': ['marker', 1.0], 'detect': ['detect', 1.0], 'misrepresentation': ['misrepresentation', 1.0], 'forward': ['forward', 1.0], 'rocket': ['rocket', 1.0], 'nefarious': ['nefarious', 1.0], 'bat': ['bat', 1.0], 'design': ['design', 1.0], 'consistent': ['consistent', 1.0], 'attack': ['attack', 1.0], 'cover': ['cover', 1.0], 'device': ['improvised_explosive_device', 0.33], 'wear': ['wear', 1.0], 'vigil': ['vigil', 1.0], 'form': ['fire', 0.14], 'visibility': ['visibility', 1.0], 'intend': ['intend', 1.0], 'kill': ['neutralize', 0.5], 'resoluteness': ['doggedness', 0.33], 'gunfight': ['operations', 0.17], 'cross': ['cache', 0.2], 'weapon': ['weapon', 1.0], 'estimate': ['estimate', 1.0], 'confirm': ['confirm', 1.0]}"
335,"{'bill': ['bill', 1.0], 'ternary': ['ternary', 1.0], 'pass': ['pass', 1.0], 'instantaneous': ['instantaneous', 1.0], 'practice': ['protection', 0.33], 'highlight': ['law', 0.12], 'suggestion': ['issue', 0.25], 'house': ['house', 1.0], 'tumult': ['marriage', 0.12], 'postpone': ['postpone', 1.0], 'divorce': ['divorce', 1.0], 'muslim': ['muslim', 1.0], 'upper': ['upper', 1.0], 'hand': ['mononuclear_phagocyte_system', 0.17], 'today': ['today', 1.0], 'call': ['whip', 0.12], 'work_force': ['party', 0.25], 'times': ['weekend', 0.33]}"
336,"{'search': ['search', 1.0], 'location': ['location', 1.0], 'faculty': ['faculty', 1.0], 'transport': ['transport', 1.0], 'collar': ['collar', 1.0], 'personality': ['personality', 1.0], 'agency': ['agency', 1.0], 'topographic_point': ['topographic_point', 1.0], 'connection': ['group', 0.25], 'break': ['break', 1.0], 'member': ['mohammed', 0.14], 'conduct': ['conduct', 1.0], 'alarm': ['panic', 0.33], 'constitution': ['constitution', 1.0], 'follow': ['come', 0.33], 'case': ['case', 1.0], 'plan': ['plan', 1.0], 'lead': ['broke', 0.33], 'national': ['national', 1.0], 'prevention': ['action', 0.25]}"
337,"{'blair': ['hero', 0.2], 'port': ['port', 1.0], 'island': ['island', 1.0], 'hoist': ['hoist', 1.0], 'combatant': ['combatant', 1.0], 'autopsy': ['autopsy', 1.0], 'flag': ['flag', 1.0], 'point': ['belief', 0.14], 'screen': ['screen', 1.0], 'premier': ['premier', 1.0], 'mark': ['mark', 1.0], 'gathering': ['gathering', 1.0], 'coin': ['coin', 1.0], 'skill': ['mentality', 0.2], 'commemorative': ['commemorative', 1.0], 'curate': ['curate', 1.0], 'freedom': ['freedom', 1.0], 'development': ['development', 1.0], 'declaration': ['tribute', 0.2], 'industrial': ['industrial', 1.0], 'training': ['contribution', 0.25], 'jail': ['jail', 1.0], 'policy': ['policy', 1.0], 'visit': ['visit', 1.0], 'city': ['india', 0.17], 'number': ['tall', 0.17], 'besides': ['besides', 1.0], 'day': ['day', 1.0], 'year': ['old_age', 0.25]}"
338,"{'tsunami': ['tsunami', 1.0], 'island': ['island', 1.0], 'blair': ['blair', 1.0], 'car': ['car', 1.0], 'port': ['port', 1.0], 'premier': ['premier', 1.0], 'stadium': ['stadium', 1.0], 'undertaking': ['care', 0.33], 'event': ['event', 1.0], 'problem': ['employment', 0.2], 'invention': ['facility', 0.25], 'curate': ['curate', 1.0], 'visit': ['visit', 1.0], 'people': ['people', 1.0], 'ross': ['young_person', 0.2], 'hoist': ['hoist', 1.0], 'state': ['state', 1.0], 'plan': ['point', 0.17], 'mast': ['mast', 1.0], 'besides': ['besides', 1.0], 'tune': ['dirty', 0.25], 'column': ['column', 1.0], 'december': ['december', 1.0], 'public': ['public', 1.0], 'tricolor': ['tricolor', 1.0], 'startup': ['development', 0.2], 'martyr': ['martyr', 1.0], 'institute': ['government', 0.2]}"
339,{}
340,"{'dawdler': ['dawdler', 1.0], 'accidental': ['movie', 0.51], 'swerve': ['establish', 0.2], 'curate': ['curate', 1.0], 'premier': ['premier', 1.0]}"
341,"{'miner': ['miner', 1.0], 'diver': ['member', 0.17], 'reach': ['miss', 0.33], 'trap': ['trap', 1.0], 'operation': ['operation', 1.0], 'rescue': ['rescue', 1.0], 'coal': ['hill', 0.12], 'morning': ['saturday', 0.17], 'rathole': ['rathole', 1.0], 'force': ['agency', 0.2], 'attempt': ['aid', 0.33], 'site': ['site', 1.0], 'operations': ['operations', 1.0], 'indian': ['indian', 1.0], 'agenda': ['appraisal', 0.11], 'chirrup': ['time', 0.2]}"
342,"{'excellence': ['space', 0.25], 'occupation': ['activity', 0.5], 'tourism': ['collaboration', 0.14], 'pivotal': ['bhutanese', 0.95], 'make': ['construct', 0.5], 'curate': ['curate', 1.0], 'state': ['state', 1.0], 'focus': ['counterpart', 0.12], 'autopsy': ['autopsy', 1.0], 'nit': ['sri_lanka_rupee', 0.12], 'policy': ['plan', 0.33], 'people': ['people', 1.0], 'development': ['development', 1.0], 'interact': ['continue', 0.33], 'gross': ['relations', 0.14], 'year': ['year', 1.0], 'advancement': ['advancement', 1.0], 'centre': ['bhutan', 0.11], 'premier': ['premier', 1.0], 'number': ['dimension', 0.25], 'universe': ['station', 0.17], 'take': ['take', 1.0]}"
343,"{'bill': ['bill', 1.0], 'revise': ['amend', 0.5], 'ternary': ['ternary', 1.0], 'point': ['right', 0.17], 'law': ['law', 1.0], 'wife': ['wife', 1.0], 'state': ['state', 1.0], 'unconstitutional': ['unconstitutional', 1.0], 'take': ['prosecute', 0.33], 'offense': ['offense', 1.0], 'change': ['practice', 0.17], 'debate': ['debate', 1.0], 'muslim': ['muslim', 1.0], 'centre': ['col', 0.14], 'term': ['politics', 0.14], 'government': ['government', 1.0], 'year': ['winter', 0.25], 'resistance': ['resistance', 1.0], 'court': ['couple', 0.2], 'autopsy': ['survey', 0.33], 'today': ['equality', 0.14]}"
344,"{'dam': ['dam', 1.0], 'business': ['council', 0.17], 'person': ['person', 1.0], 'adjourn': ['adjourn', 1.0], 'agree': ['perennial', 0.33], 'document': ['bill', 0.33], 'construction': ['construction', 1.0], 'river': ['river', 1.0], 'action': ['prevention', 0.25], 'issue': ['issue', 1.0], 'day': ['day', 1.0], 'chair': ['aircraft', 0.11], 'reason': ['interruption', 0.14], 'proceeding': ['deal', 0.2]}"
345,"{'cold': ['cold', 1.0], 'temperature': ['temperature', 1.0], 'beckon': ['beckon', 1.0], 'last': ['last', 1.0], 'record': ['record', 1.0], 'intensified': ['intensified', 1.0], 'degree': ['degree', 1.0], 'north': ['north', 1.0], 'parts': ['district', 0.2], 'director': ['homeless', 0.14], 'bomber': ['particulate', 0.09], 'subtraction': ['subtraction', 1.0], 'drop': ['drop', 1.0], 'season': ['season', 1.0], 'center': ['pull', 0.33], 'winter': ['winter', 1.0], 'time_period': ['night', 0.5], 'morning': ['morning', 1.0], 'day': ['day', 1.0], 'update': ['warm', 0.25]}"
346,"{'faculty': ['faculty', 1.0], 'search': ['search', 1.0], 'reporter': ['person', 0.33], 'new': ['new', 1.0], 'inspector': ['inspector', 1.0], 'follow': ['advance', 0.33], 'location': ['location', 1.0], 'agency': ['agency', 1.0], 'attack': ['attack', 1.0], 'connection': ['connection', 1.0], 'panic': ['panic', 1.0], 'delhi': ['north', 0.17], 'probe': ['probe', 1.0], 'group': ['group', 1.0], 'state': ['state', 1.0], 'preparation': ['preparation', 1.0], 'suspect': ['suspect', 1.0], 'confine': ['confine', 1.0], 'rocket': ['remote_control', 0.17], 'personality': ['future', 0.25], 'conduct': ['conduct', 1.0], 'card_game': ['card_game', 1.0], 'western': ['western', 1.0], 'national': ['national', 1.0], 'recover': ['recover', 1.0], 'joint': ['joint', 1.0], 'collar': ['collar', 1.0], 'name': ['style', 0.5]}"
347,"{'bridge': ['bridge', 1.0], 'assam': ['state', 0.5], 'deck': ['deck', 1.0], 'railway': ['railway', 1.0], 'happen': ['connect', 0.33], 'boundary_line': ['region', 0.25], 'undertaking': ['undertaking', 1.0], 'construct': ['construct', 1.0], 'estimate': ['estimate', 1.0], 'low': ['low', 1.0], 'crore': ['crore', 1.0], 'connection': ['system', 0.33], 'put': ['transport', 0.33], 'travel': ['travel', 1.0], 'defense_mechanism': ['goal', 0.2], 'cost': ['cost', 1.0], 'roentgen': ['kilometer', 0.14], 'weld': ['weld', 1.0], 'hours': ['hours', 1.0], 'mobilization': ['time', 0.14], 'detour': ['detour', 1.0], 'foundation': ['pace', 0.2], 'road': ['road', 1.0], 'code': ['milestone', 0.14], 'explain': ['prosecute', 0.17], 'restrict': ['reduce', 0.25], 'cement': ['concrete', 0.5], 'engineer': ['dekker', 0.17]}"
348,"{'coin': ['coin', 1.0], 'commemorative': ['commemorative', 1.0], 'bihari': ['bihari', 1.0], 'gram': ['sri_lanka_rupee', 0.14], 'calendar_month': ['decade', 0.33], 'loyalist': ['leader', 0.2], 'respect': ['respect', 1.0], 'love': ['love', 1.0], 'memory': ['memory', 1.0], 'birth': ['birth', 1.0], 'section': ['section', 1.0], 'believe': ['believe', 1.0], 'curate': ['curate', 1.0], 'society': ['society', 1.0], 'extremum': ['day', 0.17], 'name': ['part', 0.33], 'august': ['december', 0.33], 'die': ['become', 0.33], 'former': ['former', 1.0], 'launch': ['bench', 0.08], 'voice': ['voice', 1.0], 'state': ['state', 1.0], 'jemaah_islamiyah': ['jemaah_islamiyah', 1.0], 'ready': ['ready', 1.0], 'get': ['get', 1.0], 'travel': ['fall', 0.5], 'let_go_of': ['let_go_of', 1.0], 'mark': ['political_orientation', 0.1], 'death': ['resistance', 0.14]}"
349,"{'temperature': ['temperature', 1.0], 'degree': ['degree', 1.0], 'cold': ['cold', 1.0], 'december': ['december', 1.0], 'department': ['department', 1.0], 'meet': ['meet', 1.0], 'drop': ['drop', 1.0], 'visibility': ['visibility', 1.0], 'season': ['night', 0.33], 'city': ['city', 1.0], 'cover': ['envelop', 0.5], 'past': ['past', 1.0], 'advancement': ['hit', 0.11], 'dunk': ['dunk', 1.0], 'old_age': ['old_age', 1.0], 'day': ['day', 1.0], 'capital': ['capital', 1.0], 'partially': ['partially', 1.0], 'mercury': ['mercury', 1.0], 'blanket': ['blanket', 1.0], 'state': ['state', 1.0], 'homeless': ['celsius', 0.14], 'surround': ['surround', 1.0], 'sunday': ['sunday', 1.0], 'here': ['region', 0.33], 'record': ['record', 1.0], 'conditions': ['conditions', 1.0], 'national': ['national', 1.0], 'witness': ['witness', 1.0], 'today': ['today', 1.0], 'likely': ['likely', 1.0], 'aid': ['clasp', 0.2], 'harmonize': ['harmonize', 1.0], 'time': ['wave', 0.2]}"
350,"{'gujarat': ['gujarat', 1.0], 'seat': ['seat', 1.0], 'turnout': ['party', 0.2], 'win': ['win', 1.0], 'curate': ['curate', 1.0], 'necessitate': ['necessitate', 1.0], 'nearest': ['nearest', 1.0], 'prestige': ['articulation', 0.12], 'keep': ['keep', 1.0]}"
351,"{'alliance': ['alliance', 1.0], 'personal': ['personal', 1.0], 'leadership': ['leadership', 1.0], 'expansive': ['expansive', 1.0], 'state': ['state', 1.0], 'resistance': ['resistance', 1.0], 'form': ['form', 1.0], 'support': ['attack', 0.25], 'talk': ['talk', 1.0], 'chennai': ['chennai', 1.0], 'people': ['people', 1.0], 'worker': ['worker', 1.0], 'political_orientation': ['political_orientation', 1.0], 'several': ['several', 1.0], 'curate': ['curate', 1.0], 'aspiration': ['aspiration', 1.0], 'north': ['north', 1.0], 'premier': ['premier', 1.0], 'cardinal': ['cardinal', 1.0], 'power': ['degree', 0.2]}"
352,"{'resignation': ['resignation', 1.0], 'court': ['court', 1.0], 'high': ['high', 1.0], 'state': ['state', 1.0], 'reject': ['dismiss', 0.5], 'time': ['time', 1.0], 'life': ['life', 1.0], 'property': ['connection', 0.25], 'case': ['case', 1.0], 'victim': ['leader', 0.25], 'congress': ['congress', 1.0], 'delhi': ['delhi', 1.0], 'imprisonment': ['imprisonment', 1.0], 'application': ['application', 1.0], 'matter': ['personal_business', 0.33], 'entreaty': ['supplication', 0.5], 'bench': ['settle', 0.5], 'seek': ['seek', 1.0], 'october': ['days', 0.17], 'family': ['family', 1.0]}"
353,"{'diary': ['diary', 1.0], 'use': ['high', 0.33], 'associate': ['associate', 1.0], 'court': ['court', 1.0], 'publisher': ['publisher', 1.0], 'state': ['state', 1.0], 'debt': ['past', 0.14], 'petitioner': ['herald', 0.17], 'newspaper': ['newspaper', 1.0], 'purpose': ['purpose', 1.0], 'premises': ['centre', 0.17], 'national': ['national', 1.0], 'young': ['lease', 0.96], 'eviction': ['eviction', 1.0], 'week': ['old_age', 0.25], 'function': ['function', 1.0], 'order': ['order', 1.0], 'case': ['time', 0.5], 'building': ['house', 0.5], 'volume': ['request', 0.17], 'put': ['center', 0.33], 'blow': ['development', 0.14], 'abnormality': ['misdemeanor', 0.17], 'bargain': ['grant', 0.17]}"
354,"{'agency': ['agency', 1.0], 'power': ['power', 1.0], 'data': ['law', 0.33], 'order': ['order', 1.0], 'home': ['home', 1.0], 'resistance': ['resistance', 1.0], 'give': ['exist', 0.33], 'ministry': ['ministry', 1.0], 'seizure': ['repeat', 0.14], 'presentment': ['enforcement', 0.2], 'secretary': ['curate', 0.17], 'state': ['state', 1.0], 'mandate': ['mandate', 1.0], 'government': ['government', 1.0], 'new': ['new', 1.0], 'party': ['union', 0.33], 'explain': ['clarify', 0.5], 'analysis': ['surveillance', 0.25]}"
355,"{'acme': ['acme', 1.0], 'exchange': ['exchange', 1.0], 'chinese': ['chinese', 1.0], 'necktie': ['necktie', 1.0], 'cultural': ['cultural', 1.0], 'eleven': ['eleven', 1.0], 'culture': ['people', 0.2], 'side': ['side', 1.0], 'negotiation': ['negotiation', 1.0], 'better': ['better', 1.0], 'counterpart': ['issue', 0.2], 'discourse': ['prosecute', 0.1], 'trust': ['relations', 0.17], 'meet': ['meet', 1.0], 'bilateral': ['bilateral', 1.0], 'ways': ['ways', 1.0], 'external': ['external', 1.0], 'personal_business': ['personal_business', 1.0], 'guidance': ['statement', 0.33], 'contact': ['contact', 1.0], 'model': ['model', 1.0], 'curate': ['curate', 1.0], 'sport': ['attempt', 0.25], 'newly': ['newly', 1.0], 'neighbor': ['attend', 0.25], 'keep': ['keep', 1.0], 'extensive': ['extensive', 1.0], 'establish': ['establish', 1.0]}"
356,"{'sheik': ['sheik', 1.0], 'gujarat': ['gujarat', 1.0], 'topographic_point': ['top', 0.2], 'accuse': ['accuse', 1.0], 'astatine': ['leadership', 0.17], 'allegedly': ['allegedly', 1.0], 'cognition': ['evidence', 0.33], 'policeman': ['policeman', 1.0], 'kill': ['kill', 1.0], 'farm': ['farm', 1.0], 'brush': ['brush', 1.0], 'wife': ['wife', 1.0], 'case': ['case', 1.0], 'bogus': ['bogus', 1.0], 'escort': ['travel', 0.33], 'shoot': ['fix', 0.17], 'owner': ['owner', 1.0], 'court': ['court', 1.0], 'acquit': ['acquit', 1.0], 'conspiracy': ['conspiracy', 1.0], 'fire': ['charge', 0.33]}"
357,"{'bench': ['bench', 1.0], 'day': ['people', 0.17], 'justice': ['harmony', 0.14], 'back': ['west', 0.93], 'court': ['court', 1.0], 'division': ['division', 1.0], 'leadership': ['discussion', 0.2], 'order': ['order', 1.0], 'state': ['state', 1.0], 'kolkata': ['kolkata', 1.0], 'move': ['decision', 0.5], 'party': ['party', 1.0], 'travel': ['travel', 1.0], 'permission': ['permission', 1.0], 'postpone': ['try', 0.2], 'breach': ['breach', 1.0], 'ask': ['ask', 1.0], 'communal': ['communal', 1.0], 'event': ['reverse', 0.33], 'intelligence': ['intelligence', 1.0], 'deny': ['deny', 1.0], 'supplication': ['supplication', 1.0], 'administration': ['administration', 1.0], 'guarantee': ['guarantee', 1.0], 'file': ['file', 1.0], 'government': ['government', 1.0]}"
358,"{'bill': ['bill', 1.0], 'proceeding': ['punishment', 0.2], 'base_on_balls': ['base_on_balls', 1.0], 'sit': ['act', 0.33], 'protest': ['dispute', 0.2], 'protection': ['protection', 1.0], 'session': ['session', 1.0], 'plant': ['medium', 0.17], 'winter': ['old_age', 0.2], 'member': ['member', 1.0], 'issue': ['mind', 0.25], 'status': ['lack', 0.2], 'karnataka': ['state', 0.5], 'steel': ['food', 0.14], 'consumer': ['consumer', 1.0], 'spar': ['supply', 0.33], 'multiple_sclerosis': ['ailment', 0.25], 'congress': ['parliament', 0.33], 'mention': ['claim', 0.17], 'earlier': ['earlier', 1.0], 'multiple': ['right', 0.17], 'keep': ['keep', 1.0], 'pass': ['rise', 0.33], 'cover': ['talk', 0.14], 'committee': ['committee', 1.0], 'probe': ['probe', 1.0]}"
359,"{'narrative': ['promotion', 0.33], 'remind': ['perform', 0.33], 'rank': ['rank', 1.0], 'idea': ['policy', 0.25], 'data': ['leadership', 0.17], 'telecommunication': ['invention', 0.17], 'continue': ['participate', 0.33], 'position': ['district', 0.2], 'better': ['better', 1.0], 'improvement': ['commerce', 0.12], 'high': ['today', 0.14], 'use': ['procedure', 0.33], 'india': ['state', 0.2]}"
360,"{'satellite': ['satellite', 1.0], 'rocket': ['rocket', 1.0], 'prefer': ['geostationary', 0.25], 'communication': ['communication', 1.0], 'fuel': ['fuel', 1.0], 'space': ['space', 1.0], 'liquid': ['liquid', 1.0], 'indian': ['indian', 1.0], 'vehicle': ['vehicle', 1.0], 'motor': ['motor', 1.0], 'land': ['region', 0.25], 'capability': ['capability', 1.0], 'solid': ['solid', 1.0], 'agency': ['agency', 1.0], 'engine': ['engine', 1.0], 'data': ['coevals', 0.2], 'phase': ['phase', 1.0], 'research': ['research', 1.0], 'administration': ['administration', 1.0]}"
